City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,comodoro rivadavia,-45.8667,-67.5,23.92,31,0,8.75,AR,1680726818
1,atuona,-9.8,-139.0333,27.16,77,8,6.19,PF,1680727099
2,qaanaaq,77.484,-69.3632,-23.42,82,76,1.02,GL,1680727100
3,puerto ayora,-0.7393,-90.3518,29.98,94,95,1.79,EC,1680727100
4,kaitangata,-46.2817,169.8464,9.4,80,51,6.11,NZ,1680727101
5,rikitea,-23.1203,-134.9692,25.74,73,14,3.04,PF,1680727102
6,aklavik,68.2191,-135.0107,-14.8,84,100,4.37,CA,1680727102
7,fallon,39.4735,-118.7774,7.47,33,75,3.09,US,1680727103
8,ushuaia,-54.8,-68.3,13.79,46,0,10.8,AR,1680727104
9,manoel urbano,-8.8389,-69.2597,24.1,96,100,0.99,BR,1680727104
10,barrow,71.2906,-156.7887,-19.99,71,100,5.66,US,1680727105
11,aranos,-24.1333,19.1167,21.63,12,0,4.22,NA,1680727105
12,tilichiki,60.4667,166.1,-6.5,94,100,3.95,RU,1680727106
13,yellowknife,62.456,-114.3525,-3.71,74,20,6.69,CA,1680726939
14,ilulissat,69.2167,-51.1,-10.99,52,20,5.66,GL,1680727107
15,hay river,60.8156,-115.7999,3.98,41,20,5.66,CA,1680727108
16,port-gentil,-0.7193,8.7815,27.98,83,20,4.63,GA,1680727108
17,tsabong,-26.0217,22.401,21.92,23,0,2.57,BW,1680727110
18,busselton,-33.65,115.3333,14.29,79,92,2.1,AU,1680727111
19,mataura,-46.1927,168.8643,6.33,95,97,4.14,NZ,1680727111
20,lerwick,60.1545,-1.1494,8.0,98,100,8.51,GB,1680727112
21,punta arenas,-53.15,-70.9167,10.06,43,0,11.83,CL,1680727112
22,gloucester,51.8657,-2.2431,10.44,89,100,0.89,GB,1680727112
23,noyabrsk,63.1994,75.4507,-0.71,98,100,4.22,RU,1680727113
24,estelle,29.8458,-90.1067,29.0,71,100,6.17,US,1680727114
25,nuuk,64.1835,-51.7216,-0.66,64,0,15.95,GL,1680727114
26,maldonado,-34.6667,-54.9167,21.66,62,74,5.82,UY,1680727115
27,coahuayana,18.7333,-103.6833,30.85,50,21,3.95,MX,1680727116
28,chuy,-33.6971,-53.4616,19.18,66,45,4.59,UY,1680727116
29,goundam,16.4145,-3.6708,30.35,7,38,2.83,ML,1680727116
30,tuktoyaktuk,69.4541,-133.0374,-16.0,78,75,4.63,CA,1680727118
31,hobart,-42.8794,147.3294,11.92,85,75,0.51,AU,1680727118
32,gonbad-e qabus,37.25,55.1672,13.95,54,4,2.57,IR,1680727119
33,isangel,-19.55,169.2667,27.36,73,5,3.87,VU,1680727119
34,port elizabeth,-33.918,25.5701,19.16,87,0,6.69,ZA,1680727120
35,ponta do sol,32.6667,-17.1,18.34,52,4,3.4,PT,1680727120
36,flinders,-34.5833,150.8552,15.1,88,100,1.34,AU,1680727121
37,airai,-8.9266,125.4092,14.83,90,100,0.47,TL,1680727121
38,vienne,48.2085,16.3721,5.88,55,20,3.09,AT,1680727122
39,ahipara,-35.1667,173.1667,15.25,90,100,2.73,NZ,1680727122
40,kapaa,22.0752,-159.319,25.99,81,75,6.69,US,1680727123
41,nakamura,32.9833,132.9333,16.9,94,100,4.51,JP,1680727123
42,tabas,33.5959,56.9244,17.12,23,0,1.03,IR,1680727123
43,glenwood springs,39.5505,-107.3248,3.45,63,62,4.12,US,1680727124
44,plattsburgh,44.6995,-73.4529,6.82,84,100,8.75,US,1680727124
45,constitucion,-35.3333,-72.4167,16.73,65,100,4.12,CL,1680727125
46,longyearbyen,78.2186,15.6401,-5.09,86,100,11.83,SJ,1680727126
47,varkkallai,8.7341,76.7067,28.88,86,20,1.06,IN,1680727127
48,chokurdakh,70.6333,147.9167,-26.99,100,22,1.28,RU,1680727128
49,souillac,-20.5167,57.5167,24.21,88,40,1.54,MU,1680727128
50,hilo,19.7297,-155.09,23.86,90,100,3.09,US,1680727128
51,ugoofaaru,5.6667,73.0,27.98,72,3,2.05,MV,1680727129
52,norman wells,65.282,-126.8329,-1.98,46,75,1.03,CA,1680727129
53,northam,51.0333,-4.2167,10.7,98,100,5.06,GB,1680727130
54,sitka,57.0531,-135.33,5.94,65,100,8.23,US,1680727131
55,manokwari,-0.8667,134.0833,24.93,82,100,2.05,ID,1680726941
56,new norfolk,-42.7826,147.0587,11.72,72,25,1.11,AU,1680727132
